,Name,Address,,,,,,,,,
37,송파파크하비오점,서울특별시,송파구,서울특별시 송파구,송파대로,111,송파파크하비오,205동,1층,110-113,
38,서초부띠크모나코점,서울특별시,서초구,서울특별시 서초구,서초대로,397,부띠크모나코,1층,,,
39,강남역12번출구점,서울특별시,강남구,서울특별시 강남구,테헤란로,111,2층,,,,
40,송파파크하비오B1점,서울특별시,송파구,서울특별시 송파구,송파대로,111,,,,,
41, 홍대역8번출구점,서울특별시,마포구,서울특별시 마포구,양화로18안길,7,2층,,,,
42,천호역점,서울특별시,강동구,서울특별시 강동구,올림픽로,659,쌍용플래티넘리버,1층,,,
43,잠원논현역점,서울특별시,서초구,서울특별시 서초구,신반포로47길,5,건물전체,1~3층,,,
44,역삼동태광타워점,서울특별시,강남구,서울특별시 강남구,역삼동,718-20,태광타워,1층,,,
45,문래동점,서울특별시,영등포구,서울특별시 영등포구,문래동6가,5번지,1층,,,,
46,매헌역점,서울특별시,서초구,서울특별시 서초구,동산로,1,1층,,,,
47,대치사거리점,서울특별시,강남구,서울특별시 강남구,삼성로,352,창진빌딩,1층,및,2층,
48,서초역1번출구점,서울특별시,서초구,서울특별시 서초구,서초대로,250,스타갤러리,브릿지,1층,101호,
49,장안점,서울특별시,동대문구,서울특별시 동대문구,장안동,372-1,,,,,
50,연대동문회관점,서울특별시,서대문구,서울특별시 서대문구,대신동,May-50,1층,,,,
51,상암DDMC점,서울특별시,마포구,서울특별시 마포구,상암동,1610번지,DDMC,지하,1층,,
52,강서그랜드아이파크점,서울특별시,강서구,서울특별시 강서구,화곡6동,1095번지,1층,,,,
53,신논현역점,서울특별시,강남구,서울특별시 강남구,봉은사로108,글라스톤빌딩1층,,,,,
54,대치동나무병원점,서울특별시,강남구,서울특별시 강남구,영동대로,225,나무병원1층,(대치동994-5),,,
55,구로AK플라자점,서울특별시,구로구,서울특별시 구로구,구로중앙로,152,(구로동),AK플라자구로점1층,,,
