상호명,시도명,시군구명,주소,
빽다방,경기도,화성시,경기도 화성시,12
빽다방,경기도,수원시 권선구,경기도 수원시 권선구,2
빽다방,경기도,양평군,경기도 양평군,1
빽다방,인천광역시,중구,인천광역시 중구,4
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,중구,인천광역시 중구,4
빽다방,인천광역시,남구,인천광역시 남구,5
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,광주광역시,광산구,광주광역시 광산구,2
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,대구광역시,달성군,대구광역시 달성군,2
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,광주광역시,서구,광주광역시 서구,3
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,울산광역시,동구,울산광역시 동구,2
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,인천광역시,남구,인천광역시 남구,5
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,서구,인천광역시 서구,4
빽다방,광주광역시,동구,광주광역시 동구,4
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,동구,대전광역시 동구,4
빽다방,대구광역시,북구,대구광역시 북구,5
빽다방,울산광역시,남구,울산광역시 남구,5
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,인천광역시,계양구,인천광역시 계양구,3
빽다방,대구광역시,수성구,대구광역시 수성구,1
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,울산광역시,남구,울산광역시 남구,5
빽다방,울산광역시,중구,울산광역시 중구,2
빽다방,대전광역시,대덕구,대전광역시 대덕구,2
빽다방,대전광역시,대덕구,대전광역시 대덕구,2
빽다방,대전광역시,동구,대전광역시 동구,4
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,광주광역시,북구,광주광역시 북구,2
빽다방,대구광역시,북구,대구광역시 북구,5
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,인천광역시,남구,인천광역시 남구,5
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,부평구,인천광역시 부평구,2
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,대구광역시,중구,대구광역시 중구,4
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,광주광역시,북구,광주광역시 북구,2
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,대구광역시,중구,대구광역시 중구,4
빽다방,광주광역시,동구,광주광역시 동구,4
빽다방,울산광역시,북구,울산광역시 북구,1
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,울산광역시,중구,울산광역시 중구,2
빽다방,대구광역시,동구,대구광역시 동구,2
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대구광역시,북구,대구광역시 북구,5
빽다방,대구광역시,북구,대구광역시 북구,5
빽다방,울산광역시,남구,울산광역시 남구,5
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,부평구,인천광역시 부평구,2
빽다방,대전광역시,동구,대전광역시 동구,4
빽다방,대구광역시,북구,대구광역시 북구,5
빽다방,광주광역시,동구,광주광역시 동구,4
빽다방,대구광역시,중구,대구광역시 중구,4
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,인천광역시,서구,인천광역시 서구,4
빽다방,울산광역시,남구,울산광역시 남구,5
빽다방,광주광역시,광산구,광주광역시 광산구,2
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,대전광역시,동구,대전광역시 동구,4
빽다방,울산광역시,동구,울산광역시 동구,2
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,인천광역시,남동구,인천광역시 남동구,18
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
빽다방,인천광역시,서구,인천광역시 서구,4
빽다방,대전광역시,유성구,대전광역시 유성구,6
빽다방,대구광역시,중구,대구광역시 중구,4
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,인천광역시,중구,인천광역시 중구,4
빽다방,대구광역시,달서구,대구광역시 달서구,6
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,광주광역시,서구,광주광역시 서구,3
빽다방,인천광역시,남구,인천광역시 남구,5
빽다방,인천광역시,남구,인천광역시 남구,5
빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
빽다방,인천광역시,계양구,인천광역시 계양구,3
빽다방,대구광역시,달성군,대구광역시 달성군,2
빽다방,대전광역시,서구,대전광역시 서구,10
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,인천광역시,강화군,인천광역시 강화군,1
빽다방,울산광역시,남구,울산광역시 남구,5
빽다방,광주광역시,동구,광주광역시 동구,4
빽다방,울산광역시,울주군,울산광역시 울주군,1
빽다방,대구광역시,동구,대구광역시 동구,2
빽다방,대전광역시,중구,대전광역시 중구,7
빽다방,인천광역시,연수구,인천광역시 연수구,8
빽다방,광주광역시,서구,광주광역시 서구,3
빽다방,인천광역시,서구,인천광역시 서구,4
빽다방,인천광역시,계양구,인천광역시 계양구,3
빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
빽다방,인천광역시,중구,인천광역시 중구,4
빽다방,경상남도,통영시,경상남도 통영시,3
빽다방,전라북도,익산시,전라북도 익산시,2
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,충청남도,논산시,충청남도 논산시,1
빽다방,전라남도,순천시,전라남도 순천시,2
빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
빽다방,경상남도,창원시 성산구,경상남도 창원시 성산구,1
빽다방,경상북도,경산시,경상북도 경산시,3
빽다방,경상북도,포항시 북구,경상북도 포항시 북구,2
빽다방,전라북도,전주시 덕진구,전라북도 전주시 덕진구,1
빽다방,경상남도,진주시,경상남도 진주시,4
빽다방,경상북도,안동시,경상북도 안동시,2
빽다방,경상남도,창원시 의창구,경상남도 창원시 의창구,2
빽다방,충청남도,아산시,충청남도 아산시,4
빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
빽다방,충청남도,아산시,충청남도 아산시,4
빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
빽다방,전라북도,익산시,전라북도 익산시,2
빽다방,경상북도,경산시,경상북도 경산시,3
빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
빽다방,충청남도,공주시,충청남도 공주시,1
빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
빽다방,경상북도,구미시,경상북도 구미시,3
빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
빽다방,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,1
빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
빽다방,경상남도,진주시,경상남도 진주시,4
빽다방,전라남도,순천시,전라남도 순천시,2
빽다방,경상남도,김해시,경상남도 김해시,3
빽다방,경상북도,안동시,경상북도 안동시,2
빽다방,충청남도,아산시,충청남도 아산시,4
빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
빽다방,전라남도,여수시,전라남도 여수시,3
빽다방,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,1
빽다방,경상북도,경산시,경상북도 경산시,3
빽다방,전라남도,여수시,전라남도 여수시,3
빽다방,경상남도,양산시,경상남도 양산시,1
빽다방,경상남도,통영시,경상남도 통영시,3
빽다방,충청남도,당진시,충청남도 당진시,3
빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
빽다방,전라남도,목포시,전라남도 목포시,3
빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
빽다방,경상북도,경주시,경상북도 경주시,2
빽다방,경상남도,김해시,경상남도 김해시,3
빽다방,경상북도,구미시,경상북도 구미시,3
빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
빽다방,경상남도,거제시,경상남도 거제시,2
빽다방,경상북도,경주시,경상북도 경주시,2
